"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Die Website einer öffentlichen Verwaltung wird unter anderem auch von Personengruppen benutzt, die Einschränkungen bezüglich der körperlichen Fähigkeiten haben, zum Beispiel Blindheit oder motorische Einschränkungen beim Steuern eines Mauszeigers. Welche drei der folgenden Aktivitäten fördern vorrangig die Barrierefreiheit der Website?","2 Grundlegende Begriffe und Konzepte","A Eine Usability-Inspektion durchführen bezüglich der Steuerbarkeit der Website ausschließlich mittels Tastatur | B Die Website so umsetzen, dass Screenreader sie korrekt verwenden können | C Farben so verwenden, dass diese eindeutig interpretierbar sind | D Nur Begriffe verwenden, die dem Benutzer bekannt sind | E Auf allen Seiten der Website einen direkten Link zu einer Servicehotline anbieten | F Die Möglichkeit anbieten, dass Benutzer die Schriftgröße einfach ändern können","1 1 0 0 0 1","",""
"Welche drei der folgenden Punkte können Bestandteile der Benutzungsschnittstelle einer Getränkeflasche bei der Aufgabe »Wasser trinken« sein?","2 Grundlegende Begriffe und Konzepte","A Die Färbung der Flasche | B Die Form des Bodens der Flasche (nach innen gewölbt oder nicht gewölbt) | C Der Schraubverschluss der Flasche | D Der sichtbare Flüssigkeitsstand in der Flasche | E Ob die Flasche aus Glas oder aus stabilem Plastik hergestellt ist | F Ob die Flasche auf einem Tisch oder auf dem Boden steht","1 0 1 1 0 0","",""
"Das folgende Diagramm soll die Beziehung der Begriffe Usability un User Experience veranschaulichen: Welche zwei Fehler sind in diesem Diagramm enthalten?","2 Grundlegende Begriffe und Konzepte","A Bezüglich der erwarteten Benutzung werden bei der User Experience nicht nur die Erwartungen betrachtet, sondern auch Faktoren, die für eine Kaufentscheidung relevant sind, wie zum Beispiel der Preis. | B Usability betrachtet nicht nur die Benutzung selbst, sondern immer auch, was nach der Benutzung passiert und wie sich der Benutzer an die Interaktion erinnert. | C Bei »Nach der Benutzung« muss es nicht »Weiterempfehlung« heißen, sondern »Erfüllung der Erwartungen«. | D Bei »Nach der Benutzung« muss zusätzlich zu »Weiterempfehlung« auch »Erfüllung von Erwartungen« stehen. | E Usability betrachtet nicht die gesamte Zufriedenstellung, so wie es User Experience tut, sondern nur die Zufriedenstellung, die im direkten Zusammenhang mit der Aufgabenerledigung steht. | F Es gibt keine Überlappung von Usability und User Experience, Usability umfasst nur die Effektivität und Effizienz und nicht die Zufriedenstellung. Letzteres wird nur in der User Experience betrachtet.","0 0 1 0 1 0","",""
"Angenommen, der folgende Text ist die Definition des Begriffs »Usability« gemäß ISO 9241: Usability ist das Ausmaß, in dem ein Produkt von bestimmten Benutzern benutzt werden kann, um in einem bestimmten Nutzungskontext bestimmte Ziele effektiv, effizient und mit ausreichend guter User Experience zu erreichen. Welche zwei der folgenden Fehler sind in dieser Definition enthalten?","2 Grundlegende Begriffe und Konzepte","A Usability ist nicht ein Ausmaß von etwas, sondern wird entweder erreicht bzw. erfüllt oder nicht. Es muss also heißen »Usability ist erreicht, wenn ein Produkt benutzt werden kann, um …«. | B Usability bezieht sich nicht nur auf Produkte, sondern auf interaktive Systeme, bei denen zum Beispiel auch ein Servicehotline-Mitarbeiter ein Bestandteil sein kann. | C Usability muss nicht in nur einem bestimmten Nutzungskontext erreicht werden, sondern in jedem relevanten Nutzungskontext. Es muss also heißen »…, um in jedem relevanten Nutzungskontext bestimmte Ziele …«. | D Usability muss nicht nur für bestimmte Ziele erreicht werden, sondern für alle relevanten Ziele der Benutzer. Es muss also heißen »…, um … alle relevanten Ziele … zu erreichen«. | E Die Definition ist unvollständig, sie muss auch Barrierefreiheit und die Vermeidung von Schäden durch die Benutzung umfassen. | F Der Begriff User Experience kommt in der Definition von Usability nicht vor.","0 1 0 0 0 1","",""
"Welche drei der folgenden Aussagen sind in Bezug auf den Begriff User Experience korrekt?","2 Grundlegende Begriffe und Konzepte","A Was bei User Experience betrachtet wird, umfasst unter anderem auch die Einstellungen und Verhaltensweisen der Benutzer vor der Benutzung. | B User Experience hängt nicht vom Nutzungskontext ab, sondern betrachtet unabhängig vom Nutzungskontext die Wahrnehmungen und Reaktionen eines Benutzers, die sich aus der Benutzung und/oder der erwarteten Benutzung eines interaktiven Systems ergeben. | C Mangelnde Effizienz kann sich negativ auf die User Experience auswirken. | D User Experience ist der modernere Begriff für Usability und bedeutet essenziell dasselbe. | E Bei User Experience geht es vornehmlich um die Zufriedenstellung und die Erfüllung von Erwartungen. | F Bei User Experience geht es vornehmlich um das Erreichen von Zielen, die Zufriedenstellung des Benutzers hierbei und die Erfüllung von Erwartungen.","1 0 1 0 1 0","",""
"Eine Autovermietungs-Website bietet Benutzern keine Möglichkeit an, eine Reservierung zu stornieren. Eine Analyse des Nutzungskontexts zeigt, dass Benutzer diese Handlungsmöglichkeit benötigen. Welches Kriterium von Gebrauchstauglichkeit nach ISO 9241 wird von dieser Website verletzt?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Funktionale Angemessenheit | C Effizienz | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 0 0 1 0 0","",""
"Welche eine der folgenden Aussagen beschreibt NICHT ein vollständiges interaktives System?","2 Grundlegende Begriffe und Konzepte","A Eine Fußgängerampel | B Ein Werbeplakat | C Eine Schreibtischlampe | D Die Verpackung eines Produkts | E Ein Schülerlotse | F Ein Hammer","0 0 0 1 0 0","",""
"Welcher eine der folgenden Punkte wird NICHT in der Normenreihe ISO 9241 behandelt? (Hinweis: Das hier behandelte Thema ist nicht prüfungsrelevant.)","2 Grundlegende Begriffe und Konzepte","A Software-Ergonomie | B Ergonomie des Arbeitsplatzes | C Prozess der menschzentrierten Gestaltung | D Common Industry Format (CIF) der Arbeitsergebnisse in der UsabilityArbeit | E Ergonomie der Umgebung | F Anzeigen und anzeigenbezogene Hardware","0 0 0 1 0 0","",""
"Welche drei der folgenden Arbeitsergebnisse werden während der Phase »Lösungen gestalten, die Nutzungsanforderungen erfüllen« erstellt?","3 Menschzentrierte Gestaltung","A Storyboards | B Aufgabenmodelle | C Personas | D Erfordernisse | E Wireframes | F Evaluierungsbericht","1 1 0 0 1 0","",""
"Welche drei der folgenden Punkte sind wesentliche Elemente eines menschzentrierten Gestaltungsprozesses?","3 Menschzentrierte Gestaltung","A Der Prozess ist iterativ. | B Das Projektteam verfügt über ein explizites Verständnis des gesamten Nutzungskontextes. | C Repräsentanten aller Interessenvertretergruppen (inklusive der Benutzer) sind während des gesamten Gestaltungsprozesses beteiligt. | D Die Gestaltung wird durch Usability-Evaluierung gesteuert und verfeinert. | E Die Gestaltung spricht gezielt die Usability an. | F Der Prozess lässt sich leicht in die agile Entwicklung integrieren.","1 1 0 1 0 0","",""
"Welche drei der folgenden Aussagen sind korrekt für die Aktivitäten der menschzentrierten Gestaltung?","3 Menschzentrierte Gestaltung","A Soweit eine Lösung bereits existiert, sollte diese evaluiert werden, bevor der Nutzungskontext spezifiziert wird. | B Am Beginn eines Prozesses zur menschzentrierten Gestaltung steht immer die Planung der menschzentrierten Gestaltung. | C Es ist sinnvoll, vor der Gestaltung von Lösungen sicherzustellen, dass die zu erfüllenden Nutzungsanforderungen festgelegt sind. | D Wenn eine Usability-Evaluierung zeigt, dass noch nicht alle Anforderungen erfüllt werden, dann muss anschließend immer auch die Analyse des Nutzungskontextes überprüft werden. | E Die Grundlage des menschzentrierten Prozesses ist immer eine Analyse des Nutzungskontextes. | F Es kann sinnvoll sein, Usability-Evaluierung und Verfeinerung der Gestaltungslösung mehrfach nacheinander durchzuführen, ohne zwischendrin die Nutzungsanforderungen zu ändern oder zu ergänzen.","0 1 1 0 0 1","",""
"Das Folgende sei eine vollständige Beschreibung aller menschzentrierten Gestaltungsaktivitäten in einem Entwicklungsprojekt: Für ein interaktives System werden gemeinsam von einem HCD Professional, einem Fachexperten und einer Entwicklerin Benutzer zum Nutzungskontext interviewt. Basierend auf den Erkenntnissen entwickelt der HCD Professional zusammen mit dem Fachexperten einen Prototyp, bei dem die gesamte User Experience berücksichtigt wird. Der Prototyp wird basierend auf Usability-Inspektionen nachgebessert. Nach zwei Iterationen wird das System entwickelt und auf den Markt gebracht. Welcher eine der folgenden Grundsätze der menschzentrierten Gestaltung scheint am ehesten in dem Entwicklungsprojekt NICHT umgesetzt zu sein?","3 Menschzentrierte Gestaltung","A Der Prozess ist iterativ. | B Die Gestaltung beruht auf einem umfassenden Verständnis des Nutzungskontextes. | C Benutzer sind während der gesamten Gestaltung und Entwicklung beteiligt. | D Die Gestaltung wird durch Usability-Evaluierung gesteuert und verfeinert. | E Die Gestaltung adressiert gezielt die gesamte User Experience. | F Die Gestaltung erfolgt durch ein interdisziplinäres Team.","0 0 1 0 0 0","",""
"Welche zwei der folgenden Aktivitäten sind am besten geeignet, um ein Unternehmen von der HCD-Reifegradstufe 0 »Unvollständig« auf die nächsthöhere Stufe 1 »Ausgeführt« zu bringen?","3 Menschzentrierte Gestaltung","A Usability-Probleme durch Usability-Inspektionen im Detail dokumentieren und in die Weiterentwicklung der interaktiven Systeme im Unternehmen einbringen | B Beispiele aus dem Unternehmen für gute und für schlechte Usability bei Stakeholdern ansprechen | C Einen Styleguide für Benutzungsschnittstellen der interaktiven Systeme des Unternehmens erstellen und in den Entwicklungsprojekten platzieren | D Ein Qualitätssystem einführen, bestehend aus Standards für HCDAktivitäten und Regeln für die Überwachung der Einhaltung dieser Standards | E Usability-Tests durchführen, bei denen wichtige Mitarbeiter des Unternehmens als Beobachter teilnehmen | F Personas für wichtige Benutzergruppen erstellen, um so im Unternehmen Empathie für die User Experience zu erreichen","0 1 0 0 1 0","",""
"Welche zwei der folgenden Arbeitsergebnisse werden während der Phase »Nutzungskontext verstehen und festlegen« erstellt?","3 Menschzentrierte Gestaltung","A Storyboards | B Aufgabenmodelle | C Personas | D Erfordernisse | E Wireframes | F Anforderungsprofile","0 1 1 0 0 0","",""
"Die folgende Abbildung zeigt den Zusammenhang zwischen de Aktivitäten der menschzentrierten Gestaltung. Welche zwei Fehler sind in der Abbildung enthalten?","3 Menschzentrierte Gestaltung","A Die Aktivität »Management stimmt den Nutzungsanforderungen zu« fehlt. | B Die Aktivität »Prototypen erstellen« fehlt. | C Die Aktivität »Festlegen von menschzentrierten Funktionen« fehlt. | D Statt »Nutzungsanforderungen festlegen« sollte in der entsprechenden Aktivität »Nutzungsanforderungen festlegen, die den Nutzungskontext erfüllen« stehen. | E Es fehlt einer der grau schraffierten Pfeile, die eine Iteration kennzeichnen. | F Die Aktivität »Gestaltungslösungen gegen organisatorische Anforderungen evaluieren« sollte »Gestaltungslösungen gegen Nutzungsanforderungen evaluieren« lauten.","0 0 0 0 1 1","",""
"Welcher eine der folgenden Aspekte ist Bestandteil der menschzentrierten Gestaltung?","3 Menschzentrierte Gestaltung","A Engagement des Managements für Usability und menschzentrierte Gestaltung | B Interesse des Managements an Innovationen | C Die Analyse von Konkurrenzprodukten, um mögliche Fallstricke zu verstehen | D Die Einbeziehung von Benutzern während des gesamten Gestaltungsprozesses | E Regelmäßige Demonstrationen des entstehenden interaktiven Systems vor Benutzern | F Genaue Zeitpläne zur Erreichung von Usability-Meilensteinen, sodass der Fortschritt überwacht werden kann","0 0 0 1 0 0","",""
"Welche zwei der folgenden Aussagen sind Unterscheidungsmerkmale zwischen den HCD-Reifestufen 1 »Ausgeführt« und 2 »Gemanagt«?","3 Menschzentrierte Gestaltung","A Bei »Gemanagt« gibt es Kontrollmechanismen für die menschzentrierte Gestaltung, bei »Ausgeführt« nicht. | B Bei »Ausgeführt« ist unklar, ob HCD-Aktivitäten korrekt ausgeführt werden. Bei »Gemanagt« gibt es hierzu Kontrollen. | C Bei »Ausgeführt« sind die Arbeitsprodukte der HCD-Aktivitäten bereits angemessen etabliert und definiert. Bei »Gemanagt« werden sie noch zusätzlich kontrolliert. | D Bei »Gemanagt« wird der Prozess zur menschzentrierten Gestaltung sauber geplant, überwacht und angepasst. Bei »Ausgeführt« ist der Prozess eher unkoordiniert. | E Bei »Gemanagt« erfüllen alle Projekte die Anforderungen des menschzentrierten Qualitätssystems. Bei »Ausgeführt« fehlt dies. | F Bei »Gemanagt« ist der Prozess zur menschzentrierten Gestaltung wirksam in Hinblick auf zu erreichende Prozessergebnisse, bei »Ausgeführt« nur bedingt.","0 1 0 1 0 0","",""
"Die folgende Abbildung zeigt den Zusammenhang zwischen de Aktivitäten der menschzentrierten Gestaltung gemäß ISO 9241-210. Welche drei der folgenden Fehler sind in der Abbildung enthalten?","3 Menschzentrierte Gestaltung","A »Anforderungen priorisieren« ist kein separater Prozessschritt in der menschzentrierten Gestaltung. | B Gestaltungslösungen werden nicht nur gegen Nutzungsanforderungen evaluiert, sondern gegen alle Anforderungen. | C Im Ergebnis erfüllt die Gestaltungslösung nicht nur Nutzungsanforderungen, sondern alle Anforderungen. | D Es fehlt die Aktivität »Technische Umsetzung der Gestaltungslösung«. | E »Nutzungskontext verstehen« und »Nutzungsanforderungen festlegen« erfolgt nicht in einer Aktivität, sondern in zwei getrennten Aktivitäten. | F Es fehlt ein Pfeil.","1 0 0 0 1 1","",""
"In einem Produktentwicklungsprozess werden Benutzer nach ihren Anforderungen gefragt, darauf basierend dann im interdisziplinären Team Lösungen gestaltet, mit dem Nutzungskontext abgeglichen und mit Benutzern evaluiert. Nach zwei Iterationen wird das Produkt fertiggestellt und auf den Markt gebracht. Welche zwei der folgenden Grundsätze der menschzentrierten Gestaltung sind hier am ehesten NICHT eingehalten?","3 Menschzentrierte Gestaltung","A Den Benutzer als Mensch ins Zentrum aller Entscheidungen stellen | B Arbeiten im interdisziplinären Team | C Die ganze User Experience betrachten | D Den Nutzungskontext verstehen | E Iterativ arbeiten | F Evaluierungen durchführen","0 0 1 1 0 0","",""
"Welcher eine der folgenden Sätze ist die korrekte Definition des Begriffs »HCD-Reife«?","3 Menschzentrierte Gestaltung","A Der Umfang der Verwendung von Methoden der menschzentrierten Gestaltung in einer Organisation | B Der Grad des Erreichens von hoher Usability bei den Produkten, die eine Organisation entwickelt | C Das Verständnis einer Organisation für die menschzentrierte Gestaltung | D Das Verständnis und die Umsetzung eines systematischen Prozesses menschzentrierter Gestaltung in einer Organisation | E Der Grad, wie sicher festgestellt werden kann, dass ein Produkt ein bestimmtes Usability-Qualitätsziel erreicht hat | F Die Fähigkeit einer Organisation, systematisch eine hohe Usability in ihren Produkten zu erreichen","0 0 0 1 0 0","",""
"Welche zwei der folgenden Begriffe bezeichnen NICHT eine typische Stufe der HCD-Reife einer Organisation?","3 Menschzentrierte Gestaltung","A Innovativ | B Überwachend | C Vollständig | D Unvollständig | E Ausgeführt | F Vorhersagbar","0 1 1 0 0 0","",""
"Welche drei der folgenden Aussagen sind korrekt für einen menschzentrierten Gestaltungsprozess?","3 Menschzentrierte Gestaltung","A Der menschzentrierte Gestaltungsprozess ist eine sinnvolle Alternative zu anderen Gestaltungsprozessen wie V-Modell oder agile Entwicklung. | B In einem menschzentrierten Gestaltungsprozess geht man davon aus, dass eine Lösung beim ersten Ansatz nie alle relevanten Nutzungsanforderungen erfüllen kann. | C Nur wenn man die Gebrauchstauglichkeit einer Lösung evaluiert, kann man sicher sein, dass auch tatsächlich eine hohe Gebrauchstauglichkeit erreicht wird. | D Beim menschzentrierten Gestaltungsprozess konzentriert man sich allein auf die Anforderungen der Benutzer, Anforderungen anderer Stakeholder sind nicht so wichtig. | E Es ist erforderlich, die gesamte User Experience zu berücksichtigen. | F Benutzer werden im Rahmen der Analysephase und der Evaluierung von Gestaltungslösungen direkt beteiligt, in den anderen Phasen nicht.","0 1 1 0 1 0","",""
"Welche zwei der folgenden Aussagen sind gute Gründe, warum man im Kontext menschzentrierter Gestaltung von agiler Entwicklung und Lean UX wissen sollte? (Hinweis: Das hier behandelte Thema ist nicht prüfungsrelevant.)","3 Menschzentrierte Gestaltung","A Agile Entwicklung und Lean UX stehen in Konkurrenz zur menschzentrierten Gestaltung. | B Agile Entwicklung ist eine verbreitete Vorgehensweise, zu der man wissen sollte, dass ein menschzentrierter Prozess sich in diese integrieren lässt. | C Agile Entwicklung ist eine Variante der menschzentrierten Gestaltung. | D Lean UX ist eine Variante der menschzentrierten Gestaltung. | E Agile Entwicklung verfolgt ebenfalls den Ansatz, den Nutzungskontext zuerst zu verstehen und zu spezifizieren, bevor iterativ Lösungsideen entwickelt und getestet werden. | F Die menschzentrierte Gestaltung ist eine Variante der agilen Entwicklung.","0 1 0 1 0 0","",""
"Welche eine der folgenden Aussagen ist KEIN menschzentriertes Qualitätsziel für einen Geldautomaten der nächsten Generation?","4 Planung einer menschzentrierten Gestaltung","A Die Benutzer müssen in der Lage sein, Geld doppelt so schnell wie bisher abzuheben. | B Die Benutzer müssen ein Gefühl der absoluten Privatsphäre haben, wenn sie den Geldautomaten benutzen. | C Die Benutzer müssen in der Lage sein, den Namen des Geldautomatenherstellers doppelt so schnell zu erkennen wie bisher. | D Blinde Benutzer müssen in der Lage sein, ohne fremde Hilfe Geld abzuheben. | E Die Benutzer müssen in der Lage sein, mit jeder gültigen nationalen oder internationalen Bankkarte Geld abzuheben. | F Benutzer, die einen Beleg anfordern, müssen diesen verstehen können.","0 0 1 0 0 0","",""
"Welche drei der folgenden Planungsaktivitäten sind besonders hilfreich, um ein Projekt vor Beginn der inhaltlichen Projektarbeit gezielt gemäß menschzentrierter Gestaltung vorzubereiten?","4 Planung einer menschzentrierten Gestaltung","A Durchzuführende Aktivitäten der menschzentrierten Gestaltung bestimmen | B Benutzer benennen, die im Rahmen von Usability-Tests Designlösungen evaluieren werden | C Art und Umfang der Benutzerbeteiligung festlegen | D Vertreter aller Interessengruppen in die Planung einbeziehen | E Zu erstellende HCD-Ergebnisse festlegen | F Art des Projektmanagements festlegen (Wasserfall/klassisch, Spirale/iterativ oder agil)","1 0 1 0 1 0","",""
"Welche eine der folgenden Aussagen ist KEIN menschzentriertes Qualitätsziel für eine Website eines Online-Buchhandels?","4 Planung einer menschzentrierten Gestaltung","A Benutzer, die die Website das erste Mal benutzen, müssen in der Lage sein, ein vom Benutzer auf der Website ausgewähltes Buch innerhalb von 3 Minuten bestellen zu können. | B Jeder Artikel muss sowohl mit Bildern als auch mit einer ausführlichen Textbeschreibung ausgestattet sein. | C Blinde Benutzer müssen in der Lage sein, die Website zu benutzen. | D Benutzer sollen den Eindruck haben, dass auf der Website ausschließlich hochwertige, besondere Bücher angeboten werden. | E Benutzer sollen mit folgenden Zahlungsmethoden bezahlen können: Sofortüberweisung, Kreditkarte, PayPal. | F Die Website soll mindestens so gut benutzbar sein wie amazon.de.","0 1 0 0 0 0","",""
"Es soll ein kontextuelles Interview zur Analyse des Nutzungskontextes einer Verkehrsampel durchgeführt werden. Im Folgenden werden Fragen formuliert, die im Interview gestellt werden sollen. Welche drei der folgenden Fragen sind Suggestivfragen?","5 Den Nutzungskontext verstehen und festlegen","A »Was geht Ihnen so durch den Kopf, wenn Sie an einer roten Fußgängerampel warten?« | B »Wissen Sie, was ein Vibrationsknopf für Fußgänger ist und wo dieser an der Ampel zu finden ist?« | C »Wie oft passiert es, dass Sie den Fußgängerknopf drücken und sich fragen, ob die Ampel das Drücken des Knopfes realisiert hat oder nicht?« | D »Gefällt Ihnen die moderne Gestaltung des neuen Fußgängerknopfs?« | E »Beschreiben Sie bitte im Detail, was Sie tun, wenn Sie zu einer Fußgängerampel kommen und die Straße überqueren möchten.« | F »Was für eine Art von Melodie möchten Sie am liebsten hören, wenn die Fußgängerampel auf Grün springt?«","0 0 1 1 0 1","",""
