Question;Title;QType;Q_1;Q_2;Q_3;Q_4;Q_5;Q_6;Q_7;Q_8;Q_9;Q_10;Answers;Sources;Extra 1
Welche Aussagen zur Unterscheidung von Aufgabe und Teilaufgabe sind richtig?;Aufgabe versus Teilaufgabe;1;Aufgaben koennen Grundlage fuer Usability-Testaufgaben sein;Teilaufgaben erreichen fuer sich genommen oft kein Benutzerziel;Teilaufgaben sind immer bessere Testaufgaben als Aufgaben;Aufgaben und Teilaufgaben sind bedeutungsgleich;;;;;;;1 1 0 0;;;;
Welche Fragen eignen sich am besten fuer eine Benutzerbefragung zum Nutzungskontext?;Benutzerbefragung Nutzungskontext;1;Was erwarten Sie von einer Hotelbuchungs-Website?;Aus welchem Grund haben Sie zuletzt eine Hotelbuchungs-Website genutzt?;Wie zufrieden sind Sie mit der neuen Buchungswebsite?;Wie gut gefaellt Ihnen das visuelle Design? ;;;;;;;1 1 0 0;;;;
Was beschreibt den Zweck einer Fokusgruppe am besten?;Fokusgruppe Zweck;2;Ein tieferes Verstaendnis ausgewaehlter Themen des Nutzungskontexts aus verschiedenen Blickwinkeln gewinnen;Tatsaechliches Benutzerverhalten bei Aufgaben beobachten;Einen Prototyp automatisch validieren;Einen standardisierten Fragebogen ausfuellen lassen;;;;;;;1 0 0 0;;;;
Welche Merkmale charakterisieren die Interviewfrage Wie waehlen Sie ein Restaurant aus?;Fragetypen Interview;1;Offen;Neutral;Geschlossen;Suggestiv;;;;;;;1 1 0 0;;;;
Welche Aussagen sind gueltige Ist-Szenarien?;Ist-Szenarien;1;Rita besucht die Website vergleicht verfuegbare Autos und reserviert eines;Rita besucht die Website findet keine klare Verfuegbarkeit und sucht Hilfe;1 Gewuenschte Abfahrtszeit ermitteln 2 Fahrzeugkosten ermitteln;Kunden muessen das gewuenschte Datum auswaehlen koennen;;;;;;;1 1 0 0;;;;
Welche Beschreibung passt am besten zu einer Persona?;Persona;2;Beschreibung eines konstruierten aber realistischen Benutzers mit Eigenschaften Kontext und Zielen;Erzaehlendes Szenario der aktuellen Aufgabenerledigung;Messbare Nutzungsanforderung mit Prozentwerten;Konkreter Wireframe einer Benutzungsschnittstelle;;;;;;;1 0 0 0;;;;
Welche Aussagen ueber Erfordernisse sind richtig?;Erfordernisse;1;Erfordernisse werden aus Sicht des Benutzers formuliert;Erfordernisse koennen sich zwischen Benutzergruppen unterscheiden;Erfordernisse sind immer quantifiziert;Erfordernisse sind identisch mit Nutzungsanforderungen;;;;;;;1 1 0 0;;;;
Welche Aussage ist eine quantitative Nutzungsanforderung?;Quantitative Nutzungsanforderung;2;80 Prozent der Erstbenutzer muessen innerhalb von zehn Minuten ein Zimmer buchen koennen;Benutzer muessen das Gefuehl absoluter Privatsphaere haben;Die Website soll modern wirken;Das Logo muss oben links erscheinen;;;;;;;1 0 0 0;;;;
Welche Aussagen sind gueltige Nutzungsanforderungen?;Nutzungsanforderungen;1;Benutzer muessen in der Lage sein eine Buchung zu stornieren;80 Prozent der Erstbenutzer muessen die Aufgabe in unter zehn Minuten schaffen;Das Farbschema muss die Markenfarben widerspiegeln;Das Logo muss oben links platziert sein;;;;;;;1 1 0 0;;;;
Welche Aspekte gehoeren zur Informationsarchitektur?;Informationsarchitektur;1;Die in Navigation und Inhalt verwendeten Ausdruecke;Die Struktur der Informationen die Benutzern zur Verfuegung stehen muessen;Styleguide;Exakte Markenfarben;;;;;;;1 1 0 0;;;;
Welche Methode ist am nuetzlichsten um die Navigationsstruktur einer neuen Website zu entwickeln?;Navigationsstruktur;2;Card-Sorting;Storyboards;Usability-Inspektion eines High-Fidelity-Prototyps;Fokusgruppe;;;;;;;1 0 0 0;;;;
Welche Aussagen zur Barrierefreiheit sind richtig?;Barrierefreiheit;1;Screenreader sind eine Unterstuetzungstechnologie;Alt-Tags koennen helfen nicht-textuelle Inhalte zugaenglich zu machen;Barrierefreiheit betrifft nur blinde Benutzer;Barrierefreiheit ist dasselbe wie User Experience;;;;;;;1 1 0 0;;;;
Welche Aussagen zur Effektivitaet und Effizienz sind richtig?;Effektivitaet und Effizienz;1;Wenn alle Benutzer ihr Ziel erreichen ist Effektivitaet gegeben;Eine unnoetig komplizierte Aufgabe deutet eher auf ein Effizienzproblem hin;Verzoegerte Antwortzeiten koennen die Effizienz senken;Wenn nur wenige Benutzer eine Funktion finden ist primaer die Effizienz betroffen;;;;;;;1 1 1 0;;;;
Welche Aussagen zu Interessenvertretern sind richtig?;Interessenvertreter Grundlagen;1;Alle Benutzer sind Interessenvertreter;Nicht alle Interessenvertreter sind Benutzer;Entwickler koennen Interessenvertreter sein ohne Benutzer zu sein;Nur Manager koennen Interessenvertreter sein;;;;;;;1 1 1 0;;;;
Welche Aussagen zu Ist-Szenario und Nutzungsszenario sind richtig?;Ist versus Nutzungsszenario;1;Ist-Szenarien beschreiben die aktuelle Situation;Nutzungsszenarien beschreiben die zukuenftige Nutzung mit dem geplanten System;Ist-Szenarien dienen unter anderem der Ermittlung von Erfordernissen;Beide Begriffe bedeuten genau dasselbe;;;;;;;1 1 1 0;;;;
Welche Aussagen zu Ressourcen im Nutzungskontext sind richtig?;Ressourcen;1;Zeit kann eine Ressource sein;Ein Smartphone kann eine Ressource sein;Materialien wie Papier koennen Ressourcen sein;Ressourcen gehoeren nicht zum Nutzungskontext;;;;;;;1 1 1 0;;;;
Welche Aussagen zu Benutzergruppenprofilen sind richtig?;Benutzergruppenprofil;1;Es ist eine verallgemeinerte Beschreibung einer Benutzergruppe;Es kann typische Erfahrungen Gewohnheiten und Vorbehalte der Gruppe enthalten;Es beschreibt immer genau eine reale Person;Es ist dasselbe wie ein Wireframe;;;;;;;1 1 0 0;;;;
Welche Aussagen treffen auf das Meister-Schueler-Modell zu?;Meister Schueler Modell;1;Der Interviewer behandelt den Benutzer als Meister;Ziel ist es die Ziele und Aufgaben des Benutzers im Detail zu verstehen;Der Interviewer soll sein Wissen demonstrieren;Der Interview-Leitfaden muss starr abgearbeitet werden;;;;;;;1 1 0 0;;;;
Welche Aussagen zu offenen und geschlossenen Fragen sind richtig?;Offene und geschlossene Fragen;1;Offene Fragen foerdern ausfuehrliche Antworten;Mehrere geschlossene Fragen hintereinander koennen den Redefluss unterbrechen;Geschlossene Fragen sind immer suggestiv;Offene Fragen sind immer neutral;;;;;;;1 1 0 0;;;;
Welche Aussagen zu Benutzerbefragungen sind richtig?;Benutzerbefragungen;1;Benutzer fuellen einen Fragebogen aus;Benutzerbefragungen koennen Informationen ueber den Nutzungskontext sammeln;Benutzerbefragungen koennen auch Zufriedenstellung oder UX-Aspekte messen;Benutzerbefragungen ersetzen immer Beobachtungen;;;;;;;1 1 1 0;;;;
