Frage;Antwort
Was ist das Meister-Schüler-Modell?;Eine Interviewtechnik, bei der der Interviewer den Benutzer als Meister behandelt und selbst die Rolle des lernenden Schülers einnimmt, um Ziele und Aufgaben des Benutzers im Detail zu verstehen.
Was ist eine offene Frage?;Eine Frage in einem Interview, die keinen Hinweis auf das erwartete Format oder den erwarteten Inhalt der Antwort gibt.
Was ist eine geschlossene Frage?;Eine Interviewfrage, die eine Antwort aus einem vordefinierten Satz von Alternativen fordert.
Was ist eine neutrale Frage?;Eine Frage in einem Interview, die keine impliziten Annahmen beinhaltet und die Antwort nicht in eine bestimmte Richtung lenkt.
Was ist eine Suggestivfrage?;Eine Frage in einem Interview, die eine Präferenz für bestimmte Antwortmöglichkeiten vorgibt oder die Antwort in eine bestimmte Richtung lenkt.
Was ist eine Fokusgruppe?;Eine moderierte Diskussion über vorgegebene Themen und Fragen zwischen Mitgliedern einer oder mehrerer Benutzergruppen.
Wozu dient eine Fokusgruppe?;Dazu, ein tieferes Verständnis ausgewählter Themen und wichtiger Fragen des Nutzungskontexts aus verschiedenen Blickwinkeln zu gewinnen.
Warum eignen sich Fokusgruppen nicht für Usability-Evaluierungen?;Weil es dort um Haltungen und Meinungen im Gruppenrahmen geht, während Usability-Tests das tatsächliche Benutzerverhalten beobachten.
Was ist eine Benutzerbefragung?;Eine Methode, bei der Benutzer einen Fragebogen ausfüllen, um Daten, Fakten und Meinungen zu sammeln.
Wofür können Benutzerbefragungen eingesetzt werden?;Zum Sammeln von Informationen über den Nutzungskontext sowie zum Messen von Zufriedenstellung oder Aspekten der User Experience.
Was ist ein Ist-Szenario?;Eine erzählende, textuelle Beschreibung, wie ein Benutzer derzeit eine oder mehrere Aufgaben im aktuellen Nutzungskontext erledigt.
Was ist der Hauptzweck eines Ist-Szenarios?;Die Ermittlung von Erfordernissen.
Was ist eine Persona?;Eine Beschreibung eines konstruierten, aber realistischen Benutzers und dessen Absichten bei der Benutzung eines interaktiven Systems.
Was ist der Zweck einer Persona?;Empathie für Benutzer zu schaffen und Benutzer für Interessenvertreter greifbar zu machen.
Was ist ein Aufgabenmodell?;Eine Liste von Teilaufgaben für jede Aufgabe, die Benutzer erledigen müssen, um ihre Ziele zu erreichen.
Was ist eine User Journey Map?;Eine Darstellung, die einen Überblick über Berührungspunkte bietet, an denen Benutzer mit dem interaktiven System und der bereitstellenden Organisation interagieren.
Was sind Berührungspunkte Touchpoints?;Punkte, an denen Benutzer mit dem interaktiven System oder der Organisation interagieren.
Was ist ein Erfordernis?;Etwas, das ein Benutzer braucht oder erwartet, damit ein Ziel im Nutzungskontext erreicht werden kann.
Was ist eine Nutzungsanforderung?;Eine Anforderung an das interaktive System, die beschreibt, was Benutzer tun können müssen oder wie gut sie es tun können müssen, um ihre Ziele zu erreichen.
Was ist eine quantitative Nutzungsanforderung?;Eine Nutzungsanforderung mit messbaren Kriterien, zum Beispiel Prozentwerten, Zeiten oder Erfolgsquoten.
Was ist eine qualitative Nutzungsanforderung?;Eine Nutzungsanforderung, die nicht durch konkrete Zahlenwerte quantifiziert ist.
Was ist ein Nutzungsszenario?;Eine Beschreibung, wie Benutzer Aufgaben mit einem zukünftigen interaktiven System ausführen werden.
Was ist ein Storyboard?;Eine visuelle oder bildhafte Darstellung eines Nutzungsszenarios oder einer Nutzungssituation.
Was ist Informationsarchitektur?;Die Struktur der Informationen, die Benutzern zur Verfügung stehen müssen und die Ausdrücke, die in Navigation und Inhalt verwendet werden.
Was ist eine Navigationsstruktur?;Die Struktur, mit der Benutzer durch Inhalte und Funktionen eines interaktiven Systems geführt werden.
Was ist ein Styleguide?;Eine Sammlung von Gestaltungsregeln und Festlegungen zur konsistenten Gestaltung einer Benutzungsschnittstelle.
Was ist ein Wireframe?;Eine vereinfachte Darstellung einer Benutzungsschnittstelle, die Struktur und Anordnung von Inhalten und Elementen zeigt.
Was ist ein Low-Fidelity-Prototyp?;Ein früher, einfach gehaltener Prototyp mit geringem Detailgrad, der grundlegende Struktur oder Interaktion zeigt.
Was ist ein High-Fidelity-Prototyp?;Ein detaillierter Prototyp, der dem späteren interaktiven System in Aussehen oder Verhalten stark ähnelt.
Was ist der Zweck der Evaluierung der Gestaltungslösung gegen Nutzungsanforderungen?;Zu überprüfen, ob die Gestaltungslösung die festgelegten Nutzungsanforderungen erfüllt.
Was ist ein Evaluierungsbericht?;Ein Ergebnis der Evaluierung, das Erkenntnisse, Befunde oder Resultate einer Untersuchung der Gestaltungslösung dokumentiert.
Was ist Usability-Evaluierung?;Die Untersuchung, ob und wie gut ein interaktives System oder ein Prototyp im Hinblick auf Usability bewertet werden kann.
Was ist ein Usability-Test?;Eine Methode, bei der repräsentative Benutzer typische Aufgaben ausführen, damit Beobachter feststellen können, ob Benutzer ihre Ziele effektiv, effizient und zufriedenstellend erreichen.
Was ist eine Usability-Inspektion?;Eine Evaluierungsmethode, bei der Experten eine Benutzungsschnittstelle ohne Beteiligung von Benutzern prüfen.
Was ist der Zweck von Benutzerbefragungen in der Evaluierung?;Zufriedenstellung oder Aspekte der User Experience zu messen.
Was bedeutet HCD-Reife?;Der Reifegrad einer Organisation im Hinblick darauf, wie systematisch und wirksam menschzentrierte Gestaltung in Projekten und Prozessen verankert ist.
